region_id,monthly_records,aet_exceeds_pet_records,maximum_aet_minus_pet_mm,mean_aet_minus_pet_mm,aet_exceeds_pet_percentage
MYS_10_05,360,178,69.09702043847014,2.4466618905407347,49.44444444444444
MYS_10_06,360,87,44.63583833268545,-19.545725934173678,24.166666666666668
MYS_10_31,360,281,40.25025151570637,8.553753595705386,78.05555555555556
MYS_10_32,360,209,35.40067928848022,1.9581114933292398,58.05555555555556
MYS_10_33,360,207,37.434471638997394,2.027808255526965,57.5
MYS_10_34,360,214,43.28945196242563,2.8452794393576415,59.44444444444444
MYS_10_35,360,206,51.469161096807525,2.145291988681668,57.22222222222222
MYS_10_36,360,196,56.633174203198294,1.8572215267812795,54.44444444444444
MYS_10_37,360,196,57.781472324795175,2.4147249777523094,54.44444444444444
MYS_10_38,360,199,58.80116029886099,3.152484425112725,55.27777777777778
MYS_11_00,360,224,53.57585912200885,2.410252713657002,62.22222222222222
MYS_11_01,360,212,49.61162129725729,-0.4668753440823625,58.888888888888886
MYS_11_02,360,204,46.814763661977395,3.961228090496547,56.666666666666664
MYS_11_03,360,211,47.468453862116874,6.0509470083774675,58.611111111111114
MYS_11_04,360,186,69.15035967145646,4.102821653456914,51.666666666666664
MYS_11_05,360,167,79.4799750258283,0.6284079480623518,46.388888888888886
MYS_11_32,360,272,47.39104114879261,8.713418446646797,75.55555555555556
MYS_11_33,360,238,45.182311984005494,5.134673174997648,66.11111111111111
MYS_11_34,360,192,44.623083859398264,0.613697803907714,53.333333333333336
MYS_11_35,360,163,45.60159229096911,-1.4037092242501616,45.27777777777778
MYS_11_36,360,163,47.69324416723862,-1.3002340106626482,45.27777777777778
MYS_11_37,360,186,52.02427537100657,1.537955319692216,51.666666666666664
MYS_12_01,360,238,58.61203232933495,5.756483872887356,66.11111111111111
MYS_12_02,360,190,57.294663040726306,2.216228974110796,52.77777777777778
MYS_12_33,360,170,48.84185326457769,-1.617501155981639,47.22222222222222
MYS_12_34,360,125,42.128479337974994,-6.864242281228442,34.72222222222222
MYS_12_35,360,116,38.1221367308199,-10.157738626880986,32.22222222222222
MYS_12_36,360,144,41.83350711398657,-5.507085651674387,40.0
MYS_13_34,360,104,39.353428169708565,-11.383918314475187,28.88888888888889
MYS_13_35,360,102,41.37888582680904,-12.750196221986052,28.333333333333332
