target,depth_label,configuration,model_family,seed,test_fold,validation_fold,selected_ridge_alpha,test_rmse_mm,test_r_squared,test_p_violation,best_epoch,training_seconds
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260810,0,1,,24.570080283208345,-0.14696991206596222,0.011284722222222222,69.0,0.9483425617218018
SM_40_100cm_mm,40–100 cm,Mean,Mean,-1,1,2,,41.026541746548745,-0.0013857860734702854,,,
SM_40_100cm_mm,40–100 cm,Ridge,Ridge,-1,1,2,1.0,20.301584491721382,0.75479378621448,0.0,,
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260806,1,2,,28.524200343128527,0.51594071179692,0.2931547619047619,531.0,1.4506816864013672
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260807,1,2,,20.52184702791284,0.7494441808602719,0.04836309523809524,193.0,0.8137054443359375
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260808,1,2,,19.47641945206098,0.7743216801581138,0.05803571428571429,175.0,0.7492868900299072
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260809,1,2,,27.857595017345282,0.538301097041388,0.21577380952380953,473.0,1.4114315509796143
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260810,1,2,,21.463215078079052,0.7259302164819832,0.10491071428571429,251.0,0.8829920291900635
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260806,1,2,,30.5444489799303,0.4449447798695155,0.0900297619047619,575.0,2.8984694480895996
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260807,1,2,,20.872083054514146,0.7408189827191543,0.05952380952380952,202.0,1.4904227256774902
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260808,1,2,,19.314127616468458,0.77806704542374,0.03125,165.0,1.3423912525177002
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260809,1,2,,28.061528913538524,0.5315165418920638,0.11458333333333333,489.0,2.638242483139038
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260810,1,2,,20.797389724836428,0.7426706861323048,0.03943452380952381,232.0,1.6134917736053467
SM_40_100cm_mm,40–100 cm,Mean,Mean,-1,2,3,,36.091250549942515,-0.07369597208537271,,,
SM_40_100cm_mm,40–100 cm,Ridge,Ridge,-1,2,3,100.0,13.843018093561666,0.8420429420962512,0.0,,
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260806,2,3,,14.277997016325884,0.8319602461671329,0.005208333333333333,52.0,0.5134890079498291
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260807,2,3,,15.324664099050567,0.806420487898547,0.008680555555555556,54.0,0.5221188068389893
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260808,2,3,,18.5610550846604,0.7160232515654348,0.04861111111111111,32.0,0.4316565990447998
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260809,2,3,,13.870644128407752,0.8414118540739136,0.0703125,46.0,0.44988155364990234
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260810,2,3,,18.95438294832549,0.7038602098045923,0.06510416666666667,29.0,0.42760252952575684
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260806,2,3,,14.391018023136482,0.8292893967253887,0.004340277777777778,51.0,0.9517042636871338
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260807,2,3,,15.348313620303795,0.8058225504476649,0.0078125,55.0,0.970247745513916
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260808,2,3,,18.56260041061223,0.7159759638541444,0.04600694444444445,32.0,0.800830602645874
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260809,2,3,,14.156843093295475,0.8347999021846088,0.0234375,43.0,0.926884651184082
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260810,2,3,,18.948591778681013,0.704041142497065,0.05642361111111111,29.0,0.8093974590301514
SM_40_100cm_mm,40–100 cm,Mean,Mean,-1,3,4,,53.99104288395773,-0.5526262848761323,,,
SM_40_100cm_mm,40–100 cm,Ridge,Ridge,-1,3,4,100.0,17.08974068410582,0.844441249065922,0.0,,
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260806,3,4,,14.533850242983355,0.8874916220761488,0.0,110.0,0.6227407455444336
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260807,3,4,,15.47829277608921,0.872394434665173,0.019097222222222224,36.0,0.4891524314880371
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260808,3,4,,17.18971932527376,0.842615821084394,0.1527777777777778,21.0,0.42145204544067383
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260809,3,4,,16.978024000840918,0.846468395743202,0.1267361111111111,20.0,0.43859410285949707
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260810,3,4,,16.025011927915322,0.8632207479864984,0.0625,219.0,0.7426793575286865
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260806,3,4,,14.163158448872707,0.8931575768431319,0.07118055555555555,28.0,0.8795452117919922
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260807,3,4,,15.490247593558038,0.8721972436206706,0.010416666666666666,36.0,0.8593752384185791
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260808,3,4,,15.86627203381176,0.8659171310608049,0.1328125,22.0,0.8028116226196289
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260809,3,4,,16.037167998507236,0.8630131563933323,0.11284722222222222,20.0,0.7270972728729248
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,PINN_P,20260810,3,4,,15.222937733514934,0.8765700811375152,0.050347222222222224,255.0,1.510683536529541
SM_40_100cm_mm,40–100 cm,Mean,Mean,-1,4,0,,50.00948062747143,-0.3293231738773541,,,
SM_40_100cm_mm,40–100 cm,Ridge,Ridge,-1,4,0,0.0,18.950336552529752,0.8091203007682609,0.0,,
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260806,4,0,,23.005827929437192,0.7186793438049679,0.07486979166666667,192.0,0.8301010131835938
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260807,4,0,,19.333264335381703,0.8013281823394172,0.057291666666666664,28.0,0.43567562103271484
SM_40_100cm_mm,40–100 cm,MLP,MLP,20260808,4,0,,25.02015103448958,0.6672594414061748,0.07291666666666667,195.0,0.8596005439758301
