region_id,native_cell_count,longitude_mean,latitude_mean,longitude_min_native,longitude_max_native,latitude_min_native,latitude_max_native,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,region_center_lon,region_center_lat,corrected_aet_records,small_region_lt_4_cells,very_small_region_lt_2_cells
MYS_02_23,1,111.25,1.75,111.25,111.25,1.75,1.75,23,2,111.0,111.5,1.5,2.0,111.25,1.75,0,True,True
MYS_02_24,1,111.75,1.75,111.75,111.75,1.75,1.75,24,2,111.5,112.0,1.5,2.0,111.75,1.75,0,True,True
MYS_02_25,1,112.25,1.75,112.25,112.25,1.75,1.75,25,2,112.0,112.5,1.5,2.0,112.25,1.75,0,True,True
MYS_02_26,1,112.75,1.75,112.75,112.75,1.75,1.75,26,2,112.5,113.0,1.5,2.0,112.75,1.75,0,True,True
MYS_02_27,1,113.25,1.75,113.25,113.25,1.75,1.75,27,2,113.0,113.5,1.5,2.0,113.25,1.75,0,True,True
MYS_02_28,1,113.75,1.75,113.75,113.75,1.75,1.75,28,2,113.5,114.0,1.5,2.0,113.75,1.75,0,True,True
MYS_02_29,1,114.25,1.75,114.25,114.25,1.75,1.75,29,2,114.0,114.5,1.5,2.0,114.25,1.75,0,True,True
MYS_02_30,1,114.75,1.75,114.75,114.75,1.75,1.75,30,2,114.5,115.0,1.5,2.0,114.75,1.75,0,True,True
MYS_01_07,1,103.25,1.25,103.25,103.25,1.25,1.25,7,1,103.0,103.5,1.0,1.5,103.25,1.25,0,True,True
MYS_01_08,1,103.75,1.25,103.75,103.75,1.25,1.25,8,1,103.5,104.0,1.0,1.5,103.75,1.25,0,True,True
MYS_01_09,1,104.25,1.25,104.25,104.25,1.25,1.25,9,1,104.0,104.5,1.0,1.5,104.25,1.25,0,True,True
MYS_01_20,1,109.75,1.25,109.75,109.75,1.25,1.25,20,1,109.5,110.0,1.0,1.5,109.75,1.25,0,True,True
MYS_01_21,1,110.25,1.25,110.25,110.25,1.25,1.25,21,1,110.0,110.5,1.0,1.5,110.25,1.25,0,True,True
