model_family,lambda_precipitation,lambda_pet,seed,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_mae_mm,core_test_r_squared,validation_precipitation_violation_fraction,test_precipitation_violation_fraction,validation_pet_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_PET,0.01,0.01,20260808,,483,683,2.8027703762054443,23.87345193360477,24.434932455480492,18.39058662183357,0.9602773693676585,-1.20760322339607,20.3782733384422,16.275487965550916,0.9731230642409957,0.05397727272727273,0.052083333333333336,0.3333333333333333,0.36363636363636365,0.0021757862996309996,0.02024875022470951
PINN_P_PET,0.01,0.01,20260809,,529,729,2.9850289821624756,25.03542691863693,25.52717199153989,19.227719856031012,0.9566468034035183,-0.670704697117661,21.25138389941956,16.82739415662042,0.9707706323231756,0.07196969696969698,0.0634469696969697,0.19696969696969696,0.18181818181818182,0.003248132998123765,0.007786622736603022
PINN_P_PET,0.01,0.01,20260810,,512,712,2.9542975425720215,23.49760078620589,23.91917072871806,16.008294307824336,0.9619365671567531,0.26280813506155304,18.327618107467554,13.343030206088361,0.9782601251045827,0.07575757575757576,0.05397727272727273,0.3484848484848485,0.30303030303030304,0.0028481180779635906,0.01501812320202589
PINN_P,0.1,0.0,20260806,,1082,1282,5.157452821731567,24.339670509964545,24.569470304624176,16.853159124200996,0.9598387424326106,-0.4227225563742898,18.014192328195435,14.32672066524111,0.9789973266887972,0.13731060606060605,0.10416666666666667,0.22727272727272727,0.21212121212121213,0.008809681050479412,0.015709515661001205
PINN_P,0.1,0.0,20260807,,492,692,2.9453911781311035,23.721464018162763,24.113323065480287,18.092995383522727,0.9613161361793743,-2.3404365308357007,18.791587802653385,15.529879865975216,0.9771454885580392,0.05113636363636364,0.04261363636363636,0.4696969696969697,0.4090909090909091,0.002685450715944171,0.01820448599755764
PINN_P,0.1,0.0,20260808,,480,680,2.722545623779297,23.86503578243032,24.47676177529927,18.40179073449337,0.9601412533528858,-1.256160851680871,20.444458652847107,16.30762034449084,0.9729481969070288,0.04924242424242424,0.045454545454545456,0.3484848484848485,0.4090909090909091,0.0019665295258164406,0.02386482246220112
PINN_P,0.1,0.0,20260809,,544,744,3.0877933502197266,25.019967915825607,25.462860345115875,19.145993319424715,0.9568649711931388,-0.5446028275923296,21.11877589304102,16.693461451037177,0.971134274990466,0.07007575757575757,0.05776515151515151,0.19696969696969696,0.21212121212121213,0.0030465880408883095,0.009322771802544594
PINN_P,0.1,0.0,20260810,,521,721,2.9535887241363525,23.503141849597704,23.902928088988048,16.073005907463305,0.9619882445930491,0.2842226895419034,18.330140535230655,13.402184321962554,0.9782541405803195,0.07481060606060606,0.05303030303030303,0.3939393939393939,0.3333333333333333,0.002869098447263241,0.018687821924686432
PINN_P_PET,0.1,0.1,20260806,,992,1192,4.828702211380005,24.73028573434614,25.09932130649298,17.41062048709754,0.9580878757834598,1.0701404918323865,17.910030276791456,14.605319319100216,0.979239508704803,0.12973484848484848,0.09848484848484848,0.10606060606060606,0.09090909090909091,0.007305318024009466,0.0038535974454134703
PINN_P_PET,0.1,0.1,20260807,,513,713,2.974033832550049,23.738477913664727,24.08123863253637,17.912539395419035,0.96141901076981,-2.2213856090198862,18.37570157685872,15.17834262190194,0.9781459040595742,0.054924242424242424,0.048295454545454544,0.3484848484848485,0.25757575757575757,0.003265339881181717,0.007180048618465662
PINN_P_PET,0.1,0.1,20260808,,512,712,2.9023208618164062,23.888954654962195,24.184317991351126,18.296881011038117,0.9610880132468451,-0.8729816783558239,19.978457891956232,16.05750511432516,0.9741673528431499,0.06912878787878787,0.07007575757575757,0.16666666666666666,0.16666666666666666,0.0029179127886891365,0.00882863812148571
PINN_P_PET,0.1,0.1,20260809,,528,728,3.0319771766662598,25.01387495935662,25.240017422514615,18.97837644634825,0.9576166757298764,-0.7087092544093276,20.94706735984695,16.562817277579473,0.9716017586814509,0.07196969696969698,0.06628787878787878,0.13636363636363635,0.12121212121212122,0.003146209055557847,0.004425236955285072
