configuration,model_family,lambda_precipitation,lambda_pet,seed,test_fold,validation_fold,train_region_count,validation_region_count,test_region_count,test_sample_count,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_r_squared,test_precipitation_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_lambda10,PINN_P,10.0,0.0,20260807,3,4,19,8,6,72,,15,215,0.7996447086334229,45.28452514173091,41.3562271530018,34.00501166449653,0.860490188674871,-12.311083475748697,41.3562271530018,0.860490188674871,0.06684027777777778,0.0,0.0018469496862962842,0.0
PINN_P_lambda10,PINN_P,10.0,0.0,20260808,3,4,19,8,6,72,,19,219,0.7565879821777344,44.168042197378625,43.73531794740553,35.96645185682509,0.8439774026427036,-23.137440999348957,43.73531794740553,0.8439774026427036,0.15364583333333334,0.0,0.005233909469097853,0.0
PINN_P_lambda10,PINN_P,10.0,0.0,20260809,3,4,19,8,6,72,,18,218,0.883610725402832,50.078564181152665,47.08590395334392,39.237036810980904,0.819155730319506,-21.423884921603733,47.08590395334392,0.819155730319506,0.11371527777777778,0.0,0.004843855742365122,0.0
PINN_P_lambda10,PINN_P,10.0,0.0,20260810,3,4,19,8,6,72,,345,545,2.118257522583008,44.72766719591344,30.059700920270757,24.546239640977646,0.9262957998128615,0.10540390014648438,30.059700920270757,0.9262957998128615,0.009548611111111112,0.7916666666666666,9.932346438290551e-05,0.060755591839551926
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260806,3,4,19,8,6,72,,24,224,0.8848199844360352,48.702181610873296,43.020867523538755,34.81914308336046,0.8490332677004111,-19.43681377834744,43.020867523538755,0.8490332677004111,0.10069444444444445,0.0,0.0031985335517674685,0.0
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260807,3,4,19,8,6,72,,15,215,0.8008499145507812,45.41645923840558,42.20232589990857,34.60495842827691,0.8547233886723233,-12.702113681369358,42.20232589990857,0.8547233886723233,0.0685763888888889,0.0,0.002078049350529909,0.0
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260808,3,4,19,8,6,72,,19,219,0.8342313766479492,44.799985817901245,47.50375913863294,38.75987413194444,0.8159317498541769,-26.720208909776474,47.50375913863294,0.8159317498541769,0.1684027777777778,0.0,0.007598749361932278,0.0
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260809,3,4,19,8,6,72,,18,218,0.8658764362335205,50.56371275090649,50.09719161373351,41.531167348225914,0.7952849893425448,-24.521693335639107,50.09719161373351,0.7952849893425448,0.1328125,0.0,0.0065217274241149426,0.0
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260810,3,4,19,8,6,72,,18,218,0.8627152442932129,49.34124395273908,39.1209705662101,32.91549216376411,0.8751633318772485,-18.159984588623047,39.1209705662101,0.8751633318772485,0.044270833333333336,0.0,0.0007188185700215399,0.0
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260806,3,4,19,8,6,72,,25,225,0.8578672409057617,48.41903305982829,41.08893119352666,33.40852525499132,0.8622877365978492,-19.734303792317707,41.08893119352666,0.8622877365978492,0.0798611111111111,0.0,0.0021734172478318214,0.0
