region_id,native_cell_count,longitude_mean,latitude_mean,small_region_lt_4_cells,mean_observed_precipitation_mm,rmse_mm,normalized_rmse_by_mean,mae_mm,maximum_absolute_error_mm,mean_bias_mm,r_squared
MYS_07_37,1,118.25,4.25,True,209.45906833666652,13.413971459631487,0.06404101558434806,11.86337897006438,23.630483456299572,-0.5443193180053498,0.672314353202822
MYS_10_03,1,101.25,5.75,True,231.0715031482625,14.6738943437847,0.06350369536640561,12.283797421299164,29.264901700031373,0.661916994390039,0.964315360708097
MYS_09_06,1,102.75,5.25,True,274.8649636596086,17.290424076009863,0.06290515839414965,13.34808993121429,36.752080432337664,-0.22809374549029707,0.9916365644019384
MYS_04_23,1,111.25,2.75,True,293.79813077612397,18.39961544316703,0.06262672738781871,14.918374667098414,32.40358620715443,0.793058821517235,0.9618920856100449
MYS_06_29,1,114.25,3.75,True,308.4881590802655,19.18282365984937,0.062183338631348214,15.690635021101107,38.9354097273594,0.09292342515906664,0.8326155777427492
MYS_12_02,1,100.75,6.75,True,203.26355584668525,12.531098146918266,0.06164950767844505,10.735489723615137,21.623926615227305,0.3942712162575462,0.9745704588125071
MYS_10_36,1,117.75,5.75,True,278.67803514334264,17.144102399774507,0.061519388820709016,14.458200346946882,30.075658097329608,0.0884520227730737,0.9193676284362502
MYS_04_05,1,102.25,2.75,True,203.49733157243108,12.30922163026571,0.06048836874248876,10.209617335613602,20.560437903570573,-0.41334570551194716,0.9591074094431411
MYS_06_28,1,113.75,3.75,True,318.21351674112367,18.96093011837758,0.059585558503483904,16.289328191812164,33.58574077456365,0.2846357422659788,0.8942019430176514
MYS_08_08,1,103.75,4.75,True,258.791115638666,15.001191672126186,0.05796640906742495,12.591560511460434,26.821559923978995,-0.5607456258132579,0.9942422149051575
MYS_09_36,1,117.75,5.25,True,269.6812534913899,15.612390358594798,0.05789201198255797,12.417740964263855,33.266527256627114,0.027986479638502242,0.8638554771683418
MYS_11_04,1,101.75,6.25,True,233.51702003819602,13.42411740469502,0.05748667657072387,10.4274851406148,25.951587356476637,-0.05920114490499747,0.9874264963963145
MYS_02_21,1,110.25,1.75,True,290.5867230842176,16.655082842647218,0.057315360680880986,14.009747718484507,32.4857243483026,0.7979733791617724,0.9615421583531043
MYS_07_03,1,101.25,4.25,True,232.97584274199176,12.992867997034423,0.05576916406489117,10.658122392294816,28.52841940308673,0.7833972623847553,0.9584131820533758
MYS_01_26,1,112.75,1.25,True,343.8551983497761,19.09291286663679,0.05552602653171209,13.989410245360126,35.92741437393488,-0.3528994242704684,0.9216451333077219
MYS_08_31,1,115.25,4.75,True,265.2062534634438,14.67827754201399,0.0553466494485857,11.847268979121452,26.657039969955008,-0.06501282371496586,0.9112930385744963
MYS_04_31,1,115.25,2.75,True,279.72469401927555,15.46003059837576,0.05526873718667979,11.703922345555839,42.212574671760876,-0.9988660946265497,0.73442583273487
MYS_07_06,1,102.75,4.25,True,269.1957876324738,14.873335150531542,0.055250995126408624,11.15525749267845,32.66990241929932,0.3225655061740487,0.9915935177766367
MYS_01_27,1,113.25,1.25,True,351.2077112367418,19.396674760612477,0.05522849909049288,15.995928874546786,37.01211295260356,-0.3052449933997868,0.9051305264747354
MYS_10_31,1,115.25,5.75,True,265.5921757901156,14.539338528959568,0.05474309808150858,12.881396072818776,20.109137397265982,0.35942679191757304,0.9525918197748341
MYS_11_37,1,118.25,6.25,True,266.7450564321071,14.269084247342914,0.05349334093835299,12.49480451634143,27.463454870353075,-0.027279638663465278,0.9657337100454988
MYS_08_32,1,115.75,4.75,True,251.81035294194703,13.392912825320467,0.053186505911486895,10.502255248743646,31.275906655444714,-0.22520141672854757,0.906832994381119
MYS_11_03,1,101.25,6.25,True,216.36281159034147,11.214015099667831,0.05182967912665279,8.674237543935101,23.00494047324105,0.44778850509099755,0.9799141198973964
MYS_08_04,1,101.75,4.75,True,253.05284113794548,13.066322663148386,0.051634759777407925,11.252259782608164,23.04965221544586,0.8535747659446914,0.9774880488576847
MYS_09_34,1,116.75,5.25,True,246.54258608601768,12.716590470882165,0.05157969125238834,11.7942129017816,21.958506995155062,-0.34784951953346405,0.846470055828287
MYS_05_04,1,101.75,3.25,True,213.0300836660277,10.827161956897234,0.0508245679228631,9.261569843222949,22.13305245406076,-0.31080721766907615,0.9723511449827361
MYS_12_34,1,116.75,6.75,True,214.91043013399727,10.850172345239285,0.050486950951957855,8.750841272325104,19.284396618058736,0.37064040478251076,0.9690840276889533
MYS_01_28,1,113.75,1.25,True,346.6947075684866,17.491392450648878,0.05045185885104289,14.272585763920212,35.12959818265307,-0.31781386627747804,0.9038232119206182
MYS_01_30,1,114.75,1.25,True,313.44393753338886,15.713961670734028,0.0501332448615636,12.177148006690691,29.644389119762224,-0.5378920456090555,0.9088289087009235
MYS_05_26,1,112.75,3.25,True,327.89262146112316,16.421045394965144,0.0500805578417449,13.69169894262483,35.553004020542176,0.4551315865577313,0.9625035867996277
MYS_10_32,1,115.75,5.75,True,253.9913606709823,12.713106811594102,0.05005330408880531,11.401818169470232,16.411219460701318,0.2131175329823852,0.9530859520724528
MYS_12_36,1,117.75,6.75,True,258.05782558461766,12.892565695017298,0.04995998732380933,9.757532346663568,24.75842430583529,-0.10475731183151282,0.9835229680207239
MYS_05_05,1,102.25,3.25,True,211.59085259435878,10.403320983500421,0.04916715848508181,7.884828389136122,21.748786206545788,-0.1097878403868009,0.9812329576129966
MYS_08_36,1,117.75,4.75,True,246.37232475220404,12.082429676778691,0.04904134297117559,8.8100538815228,26.464057902669424,-0.17817933789555696,0.8180069496192921
MYS_11_36,1,117.75,6.25,True,271.277239858304,13.277571722921701,0.04894465798110068,11.244234076310397,26.472741869455007,-0.026793860182375322,0.9738220834983707
MYS_07_05,1,102.25,4.25,True,263.3230845548687,12.817313291526226,0.04867523602495048,10.412578020158504,27.97146077729775,0.5791193139520416,0.989780882399638
MYS_09_33,1,116.25,5.25,True,241.68542601564263,11.684535886054608,0.04834605080944495,9.256733978428377,22.508989746237035,-0.2905525771683699,0.9242271562391333
MYS_05_28,1,113.75,3.25,True,320.2926810347676,15.414666197792563,0.04812681372547289,13.12710066037978,27.666428634155977,0.21331588372528407,0.9256736644522021
MYS_03_31,1,115.25,2.25,True,282.2784578111437,13.57755898550394,0.048099876592736325,10.142734898144518,35.28960856391882,-0.9426729064420627,0.8109990239873004
