configuration,region_id,test_fold,native_cell_count,core_region_ge_4_cells,regional_rmse_mm,regional_mae_mm,regional_r_squared,regional_mean_bias_mm
PINN_P_lambda10,SLR_03_02,1,25,True,29.39128369332916,20.192415364583344,0.7192526949287844,-17.872823079427082
PINN_P_lambda10,SLR_03_03,1,25,True,18.307923748705182,16.384173583984364,0.9580279704886304,-2.754777018229163
PINN_P_lambda10,SLR_03_04,1,19,True,33.29242550755783,28.15350545247396,0.8923047991169859,8.453562418619802
PINN_P_lambda10,SLR_04_00,2,10,True,81.92599502222038,78.23706359863282,-0.6070933750708394,78.23706359863282
PINN_P_lambda10,SLR_04_01,2,25,True,77.20853434677345,71.95344543457031,-0.22670591013116503,71.95344543457031
PINN_P_lambda10,SLR_04_02,3,25,True,26.905437999518302,22.463898722330736,0.9057594851457147,-5.493472290039061
PINN_P_lambda10,SLR_04_03,3,25,True,41.74312264016254,39.74201049804688,0.7978576823899969,-39.74201049804688
PINN_P_lambda10,SLR_04_04,3,9,True,41.25790031342669,39.02057088216145,0.8295273843638397,-39.02057088216145
PINN_P_lambda10,SLR_05_00,2,9,True,80.81617911278151,79.36408030192057,-0.0400965886077751,79.36408030192057
PINN_P_lambda10,SLR_05_01,2,25,True,56.79729501221889,55.71609853108723,0.4975152656713525,55.71609853108723
PINN_P_lambda10,SLR_05_02,3,25,True,26.134719269889406,20.362145487467448,0.9228762032386584,-20.194378153483083
PINN_P_lambda10,SLR_05_03,3,21,True,26.28907460163163,22.942279052734374,0.9401287555515606,-12.124344889322913
PINN_P_lambda10,SLR_06_00,4,4,True,46.2061061578183,44.82664133707683,0.7005195965985649,-44.82664133707683
PINN_P_lambda10,SLR_06_01,4,25,True,26.105752497552857,21.263926696777347,0.934976913217536,-21.263926696777347
PINN_P_lambda10,SLR_06_02,4,25,True,13.864249913462439,10.803282674153635,0.9850540318094,-9.083453369140628
PINN_P_lambda10,SLR_06_03,3,6,True,42.31758256271236,32.76746114095051,0.8695593859241949,24.756908162434897
PINN_P_lambda10,SLR_07_00,4,1,False,98.84499821482808,97.82916971842447,-0.5116258063126811,-97.82916971842447
PINN_P_lambda10,SLR_07_01,4,19,True,43.10888775208123,36.708910624186196,0.8532419517146146,-35.14568735758464
PINN_P_lambda10,SLR_07_02,4,14,True,28.331027029380206,23.789504496256495,0.9462437943082509,-13.705777486165374
PINN_P_lambda10,SLR_08_00,4,1,False,69.78501676945717,59.36610260009764,0.6666529099554789,-50.81832529703777
PINN_P_lambda10,SLR_08_01,4,8,True,97.1963011102197,95.59014943440756,0.013983614014209333,-95.59014943440756
Ridge,SLR_00_02,0,1,False,56.60126284100569,51.1688486735026,0.14653318889303024,-51.1688486735026
Ridge,SLR_01_01,0,22,True,84.6564519195052,80.86746724446614,-2.5535743951712635,-80.86746724446614
Ridge,SLR_01_02,0,24,True,32.38430718742172,26.695226033528645,0.5528899017121169,-26.252243041992188
Ridge,SLR_01_03,1,16,True,58.82323709544732,54.3485107421875,0.20416098133963467,54.3485107421875
Ridge,SLR_01_04,1,2,False,89.33372307353947,74.93988037109375,0.0895894161854408,72.98157755533855
Ridge,SLR_02_00,0,4,True,66.96377727060768,62.30560811360677,-0.32717654486782366,-62.30560811360677
Ridge,SLR_02_01,0,25,True,79.62411954493668,74.21977233886719,-1.4353927458639055,-74.21977233886719
Ridge,SLR_02_02,0,25,True,74.53824456469687,72.3289794921875,-1.6472955835235257,-72.3289794921875
