grid_id,longitude,latitude,corrected_aet_records,minimum_raw_aet_mm,mean_raw_aet_mm
MY_0p5_4.7500_117.2500,117.25,4.75,0,86.62601826985677,117.2059394306943
MY_0p5_4.7500_117.7500,117.75,4.75,0,84.14370432986487,115.52559548322996
MY_0p5_4.7500_118.2500,118.25,4.75,0,85.14121234836293,116.32318283104485
MY_0p5_4.7500_118.7500,118.75,4.75,0,82.85949755318556,117.46249025106096
MY_0p5_4.2500_100.7500,100.75,4.25,0,94.87250942308076,132.6651248438829
MY_0p5_4.2500_101.2500,101.25,4.25,0,86.99060768078847,127.35803597390188
MY_0p5_4.2500_101.7500,101.75,4.25,0,91.68617943224436,129.74826398638913
MY_0p5_4.2500_102.2500,102.25,4.25,0,92.43093745319987,125.81490580484638
MY_0p5_4.2500_102.7500,102.75,4.25,0,82.34907240169063,117.72404268349813
MY_0p5_4.2500_103.2500,103.25,4.25,0,82.48858576119984,114.86858803486575
MY_0p5_4.2500_113.7500,113.75,4.25,0,96.2325320693682,125.7455253523101
MY_0p5_4.2500_114.2500,114.25,4.25,0,97.08084003345388,126.27173989859328
MY_0p5_4.2500_114.7500,114.75,4.25,0,104.62617614746097,131.38139008755155
MY_0p5_4.2500_115.2500,115.25,4.25,0,95.7850484583113,122.75589336083259
MY_0p5_4.2500_115.7500,115.75,4.25,0,91.50160843154131,117.72426599664206
MY_0p5_4.2500_116.2500,116.25,4.25,0,93.2200730486614,122.0393293159764
MY_0p5_4.2500_116.7500,116.75,4.25,0,91.28250263192062,120.85715618868556
MY_0p5_4.2500_117.2500,117.25,4.25,0,89.30376397191952,119.39746584315569
MY_0p5_4.2500_117.7500,117.75,4.25,0,80.41328687749358,111.45881342258436
MY_0p5_4.2500_118.2500,118.25,4.25,0,68.48377684574979,100.85762075085381
MY_0p5_4.2500_118.7500,118.75,4.25,0,64.0864028930664,95.99228015475803
MY_0p5_3.7500_100.7500,100.75,3.75,0,96.9155044555664,132.47160212198892
MY_0p5_3.7500_101.2500,101.25,3.75,0,95.21504070689376,133.8539787262303
MY_0p5_3.7500_101.7500,101.75,3.75,0,87.83453223356017,123.15524866214817
MY_0p5_3.7500_102.2500,102.25,3.75,0,91.14528193398128,124.28128503352035
MY_0p5_3.7500_102.7500,102.75,3.75,0,88.48590986463758,122.48331467737806
MY_0p5_3.7500_103.2500,103.25,3.75,0,85.00292065190334,117.36454808237248
MY_0p5_3.7500_113.2500,113.25,3.75,0,93.9975579683898,131.1489133758406
MY_0p5_3.7500_113.7500,113.75,3.75,0,95.75567449180824,128.48552450662206
MY_0p5_3.7500_114.2500,114.25,3.75,0,101.28382001604352,129.81579122015197
MY_0p5_3.7500_114.7500,114.75,3.75,0,109.2218247670976,134.16726992854365
MY_0p5_3.7500_115.2500,115.25,3.75,0,93.79841955275764,120.68713823920625
MY_0p5_3.7500_115.7500,115.75,3.75,0,94.61789944875154,119.49344314617885
MY_0p5_3.2500_101.2500,101.25,3.25,0,99.3919009791274,130.36994262213736
MY_0p5_3.2500_101.7500,101.75,3.25,0,84.97010207935504,113.62089204889449
MY_0p5_3.2500_102.2500,102.25,3.25,0,91.91469193715896,124.95969717802824
MY_0p5_3.2500_102.7500,102.75,3.25,0,91.8532660761966,124.61276299581245
