target,depth_label,maximum_lag_months,configuration,feature_count,test_fold,validation_fold,selected_alpha,test_region_count,test_sample_count,test_rmse_mm,test_mae_mm,test_r_squared
SM_40_100cm_mm,40–100 cm,3,ONLY_C2,7,3,4,10.0,6,72,22.88215234100555,18.789672154825283,0.721120088282691
SM_40_100cm_mm,40–100 cm,3,ONLY_C2,7,4,0,10.0,8,96,30.606287900329193,23.703746333811655,0.5020941763439299
SM_40_100cm_mm,40–100 cm,3,ONLY_C3,7,0,1,100.0,6,72,38.51045832614917,32.96279642254697,-1.8177095727339023
SM_40_100cm_mm,40–100 cm,3,ONLY_C3,7,1,2,0.0,7,84,33.25620721857292,24.424057228971453,0.34201343651588023
SM_40_100cm_mm,40–100 cm,3,ONLY_C3,7,2,3,100.0,6,72,20.52378639243628,16.968448919066958,0.6527898179826873
SM_40_100cm_mm,40–100 cm,3,ONLY_C3,7,3,4,30.0,6,72,21.977050436910165,17.907707931360985,0.742745904938335
SM_40_100cm_mm,40–100 cm,3,ONLY_C3,7,4,0,0.0,8,96,29.051927350320657,22.7166579752009,0.5513829383039799
SM_40_100cm_mm,40–100 cm,3,ONLY_C4,7,0,1,300.0,6,72,42.74270601086564,37.736922961443526,-2.471066066648537
SM_40_100cm_mm,40–100 cm,3,ONLY_C4,7,1,2,0.0,7,84,32.22832683915916,23.753603844521923,0.38205886157757907
SM_40_100cm_mm,40–100 cm,3,ONLY_C4,7,2,3,100.0,6,72,22.11863781989112,17.90065649663508,0.5967315599491305
SM_40_100cm_mm,40–100 cm,3,ONLY_C4,7,3,4,10.0,6,72,19.657094394614436,16.165850875156618,0.7941920563699207
SM_40_100cm_mm,40–100 cm,3,ONLY_C4,7,4,0,10.0,8,96,27.807542547419864,21.08857860876422,0.5889912114720712
SM_40_100cm_mm,40–100 cm,3,DROP_C1,15,0,1,0.0,6,72,27.4389677842719,23.177753099393378,-0.4304556331719682
SM_40_100cm_mm,40–100 cm,3,DROP_C1,15,1,2,10.0,7,84,26.18354583040342,20.474486157003277,0.5921236647964694
SM_40_100cm_mm,40–100 cm,3,DROP_C1,15,2,3,30.0,6,72,16.622644749679832,14.058665953626761,0.7722398566381314
