component_count,run_index,random_seed,rss,relative_error,explained_variance,iterations,converged,mean_component_stability,minimum_component_stability
4,72,20300878,18781.93652824568,0.03875333772048187,0.9948963051133415,8167,True,0.9991055981968792,0.9977770440832782
4,73,20300879,18781.936305262912,0.03875333749043833,0.9948963051739336,9156,True,0.9961993200849442,0.9922812827444438
4,74,20300880,18781.998887009242,0.03875340205378995,0.9948962881683315,20000,False,0.9946695896051994,0.9815889685636003
4,75,20300881,18781.936256504057,0.03875333744013552,0.994896305187183,6269,True,0.998130819896478,0.9946579317946878
4,76,20300882,18781.937271382398,0.03875333848715009,0.9948963049114058,19434,True,0.9982100105848096,0.9938405589415117
4,77,20300883,18782.327105117278,0.03875374066292336,0.9948961989802396,20000,False,0.9937475403282301,0.9781108025685918
4,78,20300884,18781.937179962202,0.03875333839283507,0.9948963049362478,14395,True,0.9997023944878537,0.9989360484790538
4,79,20300885,18781.936483106878,0.03875333767391374,0.9948963051256072,7843,True,0.9969391222685405,0.9944002416471632
4,80,20300886,18781.93640935434,0.03875333759782582,0.9948963051456483,14497,True,0.999889168691247,0.9995930300703629
4,81,20300887,18781.936494139605,0.03875333768529581,0.9948963051226093,9695,True,0.9997826155146603,0.9992502280672994
4,82,20300888,18781.93792369518,0.03875333916011842,0.9948963047341501,20000,False,0.9456197779876934,0.874877987273196
4,83,20300889,18781.936723276784,0.038753337921688655,0.9948963050603449,19843,True,0.9986815217378053,0.9953714354341338
4,84,20300890,18781.936519038078,0.038753337710982695,0.9948963051158435,11267,True,0.9999706603846251,0.999926633634645
4,85,20300891,18781.936966782258,0.03875333817290475,0.9948963049941761,14371,True,0.9079380094934663,0.8433008536525111
4,86,20300892,18781.936441287795,0.03875333763077045,0.9948963051369709,8986,True,0.9995989566869075,0.998645515750438
4,87,20300893,18781.936719976293,0.03875333791828366,0.9948963050612417,14443,True,0.99932347683356,0.9977478573740052
4,88,20300894,18781.936391053314,0.038753337578945286,0.9948963051506213,7145,True,0.9986912285265648,0.9964718573128005
4,89,20300895,18781.936247087404,0.038753337430420684,0.9948963051897418,10034,True,0.9976196208219249,0.996378332509278
4,90,20300896,18781.93719210839,0.03875333840536586,0.9948963049329473,15790,True,0.9994485685570743,0.9980637685069164
4,91,20300897,18781.936459600634,0.038753337649663176,0.9948963051319947,14740,True,0.9998164870569741,0.9993881493100037
4,92,20300898,18781.93634096913,0.03875333752727519,0.994896305164231,10704,True,0.9998685473672073,0.9995352890983216
4,93,20300899,18781.93676459844,0.03875333796431876,0.9948963050491164,9401,True,0.9996203353084815,0.9992524578638932
4,94,20300900,18781.937014085925,0.038753338221706304,0.9948963049813221,19019,True,0.9987278339831545,0.9955473557898326
4,95,20300901,18781.93655858848,0.03875333775178549,0.9948963051050963,5523,True,0.9756368606476008,0.9175639655570507
4,96,20300902,18781.936226100355,0.038753337408769066,0.9948963051954447,8923,True,0.9994079607933226,0.9978623865291419
4,97,20300903,18781.936587400116,0.03875333778150944,0.9948963050972672,11692,True,0.9999871766017965,0.999974004397571
4,98,20300904,18781.93633772638,0.038753337523929746,0.9948963051651121,10205,True,0.9998044035551732,0.9993062401289726
4,99,20300905,18781.936631932538,0.03875333782745199,0.9948963050851662,12313,True,0.9989676791311318,0.997494399520525
