region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight
MYS_09_03,1,101.25,5.25,3,9,True,236.79404148193726,2.414948899484134,916.4873720997095,9.309786315376716,1279.6961076429795,11.309016760692629,412.19133312461776,4.916001156645225
MYS_09_04,1,101.75,5.25,4,9,True,208.69754444479906,2.1284061969120684,851.3507473973216,8.648120835038656,1024.2245970550885,9.051346695227398,926.9695432637335,11.055505006170758
MYS_09_05,1,102.25,5.25,5,9,True,180.26952865957412,1.8384824935730917,709.271659942916,7.2048647855266825,705.0469002112237,6.230688023462829,1651.7956565744064,19.70014579565736
MYS_09_06,1,102.75,5.25,6,9,True,155.5501192415242,1.5863810885021745,542.0356373183422,5.506061635297461,521.6217410444915,4.609710834456632,2076.42889331768,24.76453535270034
MYS_09_07,1,103.25,5.25,7,9,True,138.6662476196645,1.414190576709454,408.4447535026754,4.149029754807058,509.78386755763023,4.505096380388744,2119.5468694877295,25.278782023335893
MYS_09_31,1,115.25,5.25,31,9,True,495.5028002726278,5.053395493910548,1239.5007937568416,12.590994572220444,1093.2933785411656,9.66172598981269,384.21337146472024,4.582321913954672
MYS_09_32,1,115.75,5.25,32,9,True,502.8214780258884,5.128035179416587,1203.1174375795438,12.221408169004805,1077.7977820654573,9.52478725942655,335.59546830986216,4.002480347827688
MYS_09_33,1,116.25,5.25,33,9,True,553.9235532853783,5.649200744381507,1124.1747055442174,11.419498629632587,952.9196234282466,8.421205572619817,265.7118156292314,3.1690127569292903
MYS_09_34,1,116.75,5.25,34,9,True,726.1316503351984,7.405468561975401,1127.3544789858067,11.451799141536734,833.2780728870513,7.363901192099569,267.56514460332374,3.1911164904338656
MYS_09_35,1,117.25,5.25,35,9,True,1046.7683204422297,10.67548823292349,1229.6441662198986,12.490869792596952,722.5920686700455,6.385739369626138,357.5543040954154,4.264372467931353
MYS_09_36,1,117.75,5.25,36,9,True,1083.0866003137232,11.045880956734957,1108.6806452926855,11.26210814669679,622.9146126542545,5.504863031866522,421.82338745840224,5.030877881215847
MYS_09_37,1,118.25,5.25,37,9,True,884.2156531640165,9.017691514327952,805.0653507563275,8.177948342358386,533.4401651223534,4.714153408895409,465.9388028725507,5.557020513953522
